country	region
Afghanistan	MiddleEast
Argentina	SouthAmerica
Australia	Oceania
Austria	Europe
Bangladesh	SouthAsia
Canada	NorthAmerica
China	China
Egypt	MiddleEast
Finland	Europe
France	Europe
Georgia	Europe
Germany	Europe
HongKong	China
Hungary	Europe
India	SouthAsia
Iran	MiddleEast
Iraq	MiddleEast
Ireland	Europe
Israel	MiddleEast
Italy	Europe
Japan	JapanKorea
Jordan	MiddleEast
Korea	JapanKorea
Kuwait	MiddleEast
Lebanon	MiddleEast
Libya	MiddleEast
Malaysia	SoutheastAsia
MiddleEast	MiddleEast
Mongolia	NorthAsia
Nepal	SouthAsia
Netherlands	Europe
NewZealand	Oceania
Norway	Europe
Pakistan	SouthAsia
Poland	Europe
Portugal	Europe
Qatar	MiddleEast
Russia	NorthAsia
SaudiArabia	MiddleEast
SouthAfrica	Africa
Sweden	Europe
Switzerland	Europe
Thailand	SoutheastAsia
Tunisia	MiddleEast
UnitedArabEmirates	MiddleEast
UnitedKingdom	Europe
UnitedStates	NorthAmerica
Vietnam	SoutheastAsia
Zambia	Africa